,adv_vol,dec_vol
2023-06-19,562013225,143922128
2023-06-20,497773093,216771529
2023-06-21,357479064,283612905
2023-06-22,379231059,219708155
2023-06-23,193185366,325766754
2023-06-26,245304348,225233279
2023-06-27,381146755,144336843
2023-06-28,254483179,222335828
2023-06-29,332783344,238451017
2023-06-30,307437011,197093159
2023-07-03,520991202,85853158
2023-07-04,462827028,188623720
2023-07-05,345444488,250117849
2023-07-06,194941495,327965318
2023-07-07,361034470,244871932
2023-07-10,396581830,159372747
2023-07-11,425050894,159435016
2023-07-12,517111354,161582619
2023-07-13,353875491,162545006
2023-07-14,306778755,241815817
2023-07-17,384003422,156979943
2023-07-18,167562866,320333134
2023-07-19,163816229,264712692
2023-07-20,207661723,150990239
2023-07-21,295329828,197204454
2023-07-24,225064052,302542880
2023-07-25,441259950,267133484
2023-07-26,99727987,687066313
2023-07-27,407613059,183101942
2023-07-28,375302047,122678245
2023-07-31,347509849,99876704
2023-08-01,297771656,188185001
2023-08-02,406818458,291449121
2023-08-03,435839829,346490176
2023-08-04,270103172,369688161
2023-08-07,301074700,198014701
2023-08-08,183408682,453396623
2023-08-09,298282963,162598079
2023-08-10,390753970,167346128
2023-08-11,329193896,340113237
2023-08-14,380835082,237930967
2023-08-16,379789661,302182902
2023-08-17,429095439,295002929
2023-08-18,302836581,250570103
2023-08-21,214792335,179408664
2023-08-22,275922017,137245767
2023-08-23,348386265,188711984
2023-08-24,314551527,115488148
2023-08-25,374390785,188466492
2023-08-28,394945541,73541282
2023-08-29,291326554,131587121
2023-08-30,232299024,123401220
2023-08-31,242183010,210078265
2023-09-01,280621029,204024775
2023-09-04,216573750,118089949
2023-09-05,221148389,155882876
2023-09-06,238272023,171492705
2023-09-07,152484047,219010306
2023-09-08,273443770,119477145
2023-09-11,256806362,141372332
2023-09-12,152470472,202659280
2023-09-13,241278603,162759695
2023-09-14,276654924,127412354
2023-09-15,320375636,111835490
2023-09-18,219332318,187161772
2023-09-19,207089957,178005343
2023-09-20,182962567,167063803
2023-09-21,157793335,233985702
2023-09-22,238212801,190524523
2023-09-25,221812553,202538270
2023-09-26,142742296,267948177
2023-09-27,169781989,191985188
2023-10-04,142186241,279077416
2023-10-05,249249870,193022869
2023-10-06,180274715,104512319
2023-10-10,197573596,210899956
2023-10-11,374106300,67815002
2023-10-12,249526929,259988664
2023-10-13,407089364,170837992
2023-10-16,608380172,172817785
2023-10-17,299833419,188293016
2023-10-18,383304936,515973227
2023-10-19,371774768,383809260
2023-10-20,108334741,405023775
2023-10-23,142052451,247340396
2023-10-24,285740739,117242274
2023-10-25,318742676,117448566
2023-10-26,266428320,261849317
2023-10-27,301517704,207362237
2023-10-30,283554770,133726349
2023-10-31,118964737,268094394
2023-11-01,269458048,86453938
2023-11-02,270897820,97816759
2023-11-03,453198157,120375948
2023-11-06,417174011,105378235
2023-11-07,203155163,225434559
2023-11-08,307813018,150259195
2023-11-09,253922407,130365240
2023-11-10,124635646,183545705
2023-11-13,144779926,155546318
2023-11-14,244836456,56827744
2023-11-15,357323491,54587895
2023-11-16,291518862,105882575
2023-11-17,205371585,155909007
2023-11-20,245902432,71386876
2023-11-21,256386224,82018263
2023-11-22,306915036,110272042
2023-11-23,215163373,140047041
2023-11-24,226364075,119873003
2023-11-27,204078303,154861891
2023-11-28,304991873,110235376
2023-11-29,377687581,181996852
2023-11-30,477354437,176745204
2023-12-01,318665567,160812594
2023-12-04,334872530,152749029
2023-12-05,189364840,226791882
2023-12-06,274146428,110540558
2023-12-07,261726918,173683894
2023-12-08,307128110,114059147
2023-12-11,293785187,122629384
2023-12-12,205416169,164071101
2023-12-13,165362678,203487085
2023-12-14,352241500,166676757
2023-12-15,289933989,169025577
2023-12-18,227570208,147275206
2023-12-19,159332416,217876752
2023-12-20,449650457,108360698
2023-12-21,303418256,258548982
2023-12-22,169167710,289319216
2023-12-26,230380601,191334770
2023-12-27,173624139,170468045
2023-12-28,362385081,91367831
2024-01-02,311930858,89987814
2024-01-03,243024300,185021185
2024-01-04,511731865,238692466
2024-01-05,186608227,307188912
2024-01-08,151687243,157849852
2024-01-09,689038820,94424277
2024-01-10,285262614,279417771
2024-01-11,585343458,195926018
2024-01-12,530546800,254435378
